"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This will create new product","SUCCESS","2023-01-10T18:22:06.372Z[Europe/London]","0.0","0.5"
"Product CRUD test","Getting the product information with id:","SUCCESS","2023-01-10T18:22:06.870Z[Europe/London]","0.0","0.1"
"Product CRUD test","Updating product information and verify the updated information","SUCCESS","2023-01-10T18:22:06.969Z[Europe/London]","0.0","0.07"
"Product CRUD test","Deleting product with id and verify that user is deleted","SUCCESS","2023-01-10T18:22:07.038Z[Europe/London]","0.0","0.09"
