"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD test","This will create new  store","SUCCESS","2023-01-10T18:22:07.176Z[Europe/London]","0.0","0.08"
"Store CRUD test","Getting the store information with Name:","SUCCESS","2023-01-10T18:22:07.261Z[Europe/London]","0.0","0.04"
"Store CRUD test","Updating store information and verify the updated information","SUCCESS","2023-01-10T18:22:07.301Z[Europe/London]","0.0","0.06"
"Store CRUD test","Deleting store with id and verify that user is deleted","SUCCESS","2023-01-10T18:22:07.366Z[Europe/London]","0.0","0.06"
